frame	state	pose	file	file_sha256	rgba_sha256	width	height	pixel_mismatches
13	running-right	run-right-b	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_013.png	9c5dc7adb6a0ba4aa035c90ce9372669413418f0908bd3c967472a340d88e740	230ab033af9cf049268a986c31c22dc6c4c9be6dd95eaa69c8c757e5693df6d6	192	208	0
14	running-right	run-right-a	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_014.png	a924fb397f1b957e252624ce6c035a976a1ce4e65ca98759401b6345f904ae51	ac7e84a8ea3cf778e6e67864a5767b9e6e903e9cb62ae968cd4ecd7dd07848d6	192	208	0
15	running-right	run-right-b	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_015.png	9c5dc7adb6a0ba4aa035c90ce9372669413418f0908bd3c967472a340d88e740	230ab033af9cf049268a986c31c22dc6c4c9be6dd95eaa69c8c757e5693df6d6	192	208	0
16	running-left	run-left-a	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_016.png	f4ba02ea555f4dfc0906e15ea5981fce972dc92027c994a27f236b8bc45a7760	e8191c15145d02bdf1f6acb0cb8305b6957c408baf90d9a8a5ae43a049295f6d	192	208	0
17	running-left	run-left-b	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_017.png	fcf7c7c7eacb27aacf732af6b069fd233baad648cd1d05488fb19f590ce68f7b	1f060631d237290342c6a5404ccf98f093f80e401fe798360207b5b7563a362a	192	208	0
18	running-left	run-left-a	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_018.png	f4ba02ea555f4dfc0906e15ea5981fce972dc92027c994a27f236b8bc45a7760	e8191c15145d02bdf1f6acb0cb8305b6957c408baf90d9a8a5ae43a049295f6d	192	208	0
19	running-left	run-left-b	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_019.png	fcf7c7c7eacb27aacf732af6b069fd233baad648cd1d05488fb19f590ce68f7b	1f060631d237290342c6a5404ccf98f093f80e401fe798360207b5b7563a362a	192	208	0
20	running-left	run-left-a	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_020.png	f4ba02ea555f4dfc0906e15ea5981fce972dc92027c994a27f236b8bc45a7760	e8191c15145d02bdf1f6acb0cb8305b6957c408baf90d9a8a5ae43a049295f6d	192	208	0
21	running-left	run-left-b	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_021.png	fcf7c7c7eacb27aacf732af6b069fd233baad648cd1d05488fb19f590ce68f7b	1f060631d237290342c6a5404ccf98f093f80e401fe798360207b5b7563a362a	192	208	0
22	running-left	run-left-a	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_022.png	f4ba02ea555f4dfc0906e15ea5981fce972dc92027c994a27f236b8bc45a7760	e8191c15145d02bdf1f6acb0cb8305b6957c408baf90d9a8a5ae43a049295f6d	192	208	0
23	running-left	run-left-b	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_023.png	fcf7c7c7eacb27aacf732af6b069fd233baad648cd1d05488fb19f590ce68f7b	1f060631d237290342c6a5404ccf98f093f80e401fe798360207b5b7563a362a	192	208	0
24	waving	canonical	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_024.png	c67e9c12b646e70bb10e4e32e22a8bec83094eb29319fdcc62221460fcfc4450	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d	192	208	0
25	waving	wave-low	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_025.png	a2247b864e8a4cbd3d5d4da6b061b206da216df83018fa08a06e68bd44f9d7e5	54e876985163cc0930a7b1655fef43e5bd3ba20fa9e2c2d6c43b3ba82ec2649e	192	208	0
26	waving	wave-high	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_026.png	8e3a764b6adf588142774ba952bda636706f69f90d499a2c069f181fd429aaf2	327527d88cee049699e53aa6b5f71732a53cdd9ec950d4f19b315e6844f93a90	192	208	0
27	waving	wave-high	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_027.png	8e3a764b6adf588142774ba952bda636706f69f90d499a2c069f181fd429aaf2	327527d88cee049699e53aa6b5f71732a53cdd9ec950d4f19b315e6844f93a90	192	208	0
28	waving	wave-low	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_028.png	a2247b864e8a4cbd3d5d4da6b061b206da216df83018fa08a06e68bd44f9d7e5	54e876985163cc0930a7b1655fef43e5bd3ba20fa9e2c2d6c43b3ba82ec2649e	192	208	0
29	waving	wave-high	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_029.png	8e3a764b6adf588142774ba952bda636706f69f90d499a2c069f181fd429aaf2	327527d88cee049699e53aa6b5f71732a53cdd9ec950d4f19b315e6844f93a90	192	208	0
30	waving	wave-low	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_030.png	a2247b864e8a4cbd3d5d4da6b061b206da216df83018fa08a06e68bd44f9d7e5	54e876985163cc0930a7b1655fef43e5bd3ba20fa9e2c2d6c43b3ba82ec2649e	192	208	0
31	waving	canonical	/home/don/.codex/cache/tui-pets/frame-cache/custom-white-cat/sha256-c3a5160a10b84c0dbe0fbabe7cedadcd20b01152eed448a8e1312fcc3eb7fcfd-192x208-8x9/frames/frame_031.png	c67e9c12b646e70bb10e4e32e22a8bec83094eb29319fdcc62221460fcfc4450	cfb50024b6b044d37a9d55f0cf995f5688a4722907cc35b7cc30a350cab7992d	192	208	0
